LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79497.6
GLOBALFOUNDRIES U.S. INC.,SUNNYVALE,CA,94085-,SENIOR TAX ANALYST,67184
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,60000
EXILANT CONSULTING PVT. LTD.,SANTA CLARA,CA,95054,SYSTEMS ANALYST,6000
"HYPERMEDIA SYSTEMS, INC.",LOS ANGELES,CA,90017,DATABASE ADMINISTRATOR,49880
"INTERACTIVE STUDIOS GROUP, INC.",BURBANK,CA,91521-153,SENIOR ARTIST,90447
WALT DISNEY PICTURES,BURBANK,CA,91521-153,SENIOR DEVELOPMENT SOFTWARE ENGINEER,126048
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENGINEER(TECH YAHOO,SOFTWARE APPS DEV ENG",74900
CHEVRON CORPORATION,SAN RAMON,CA,94583,EARTH SCIENTIST,106400
PALANTIR TECHNOLOGIES INC.,PALO ALTO,CA,94301,ACCOUNTING ANALYST,110000
"BF IMPORTS, INC.",SOUTH SAN FRANCISCO,CA,94080,ACCOUNTANT,50398
LOGIC HOUSE LTD.,LA QUINTA,CA,92253,SYSTEM ANALYST,48
THE J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,94158-,POSTDOCTORAL FELLOW,42400
"THE CAPITAL GROUP COMPANIES, INC.",LOS ANGELES,CA,90071-,"COORDINATOR, IT DISASTER RECOVERY",104082
"QUMU, INC.",SAN BRUNO,CA,94066-,SR. TECHNICAL SUPPORT ENGINEER,1.00E+05
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,62000
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,55000
"DEEPDYVE, INC.",SUNNYVALE,CA,94086,DEVELOPMENT ENGINEER,85946
"FLUOR ENTERPRISES, INC.",ALISO VIEJO,CA,92698-1000,PROJECT DIRECTOR,195000
"THE COLUMN GROUP, LLC",SAN FRANCISCO,CA,94158,MANAGING PARTNER,6.00E+05
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF SYSTEMS ENGINEER,115960
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,94088-,CHIEF SALES OFFICER,493000
"KYOCERA COMMUNICATIONS, INC.",SAN DIEGO,CA,92121,"INTERNATIONAL SALES ACCOUNT MANAGER, SENIOR",82310
YAHOO! INC.,SUNNYVALE,CA,94089-,"SOFTWARE ENGINEER, MAIL FRONT-END",92600
"HEADWAY TECHNOLOGIES, INC.",MILPITAS,CA,95035,MATERIALS SCIENTIST,78000
"DTI SERVICES, INC.",LOS ANGELES,CA,90017,EDITOR,46800
VOLT MANAGEMENT CORP,ORANGE,CA,92865,ASSOCIATE ENGINEER,25
"BECKMAN COULTER, INC.",FULLERTON,CA,92834-,STAFF APPLICATIONS ARCHITECT,95000
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (PRODUCT SUPPORT ENGINEER),63700
OOCL (USA) INC.,SAN JOSE,CA,95134,SOFTWARE ENGINEER,97830
"BECKMAN COULTER, INC.",FULLERTON,CA,92834-,STAFF APPLICATIONS ARCHITECT,1.00E+05
UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,SANTA BARBARA,CA,93106-7150,POSTDOCTORAL SCHOLAR,3750
"SONY ELECTRONICS, INC.",SAN DIEGO,CA,92127,SOFTWARE ENGINEER,75000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,98758
SANTA CATALINA ISLAND CONSERVANCY,AVALON,CA,90704,WILDLIFE BIOLOGIST,54350
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SYSTEMS ENGINEER (HW),98758.4
"SKYWATCH ENERGY, INC.",MOUNTAIN VIEW,CA,94043,MECHANICAL ENGINEER,75000
"INTERSIL COMMUNICATIONS, INC., AN INTERSIL CORPORA",MILPITAS,CA,95035-7912,SENIOR DESIGN ENGINEER,95000
THE J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,94158-,POSTDOCTORAL FELLOW,42400
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,HARDWARE ENGINEER,76180
"STMICROELECTRONICS, INC.",SAN JOSE,CA,95131,HARDWARE DESIGN STAFF ENGINEER,116863
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,92697,ASSISTANT PROFESSOR,61400
PAYROLLING.COM,SAN DIEGO,CA,92109,ENGINEER,55
DREAMWORKS ANIMATION LLC,GLENDALE,CA,91201,ROUGH LAYOUT ARTIST,114400
"ORCHARD SUPPLY HARDWARE, LLC",SAN JOSE,CA,95119,INDUSTRIAL ENGINEER,65975
SWA GROUP,SAUSALITO,CA,94966,LANDSCAPE ARCHITECTURAL DESIGNER,47445
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,50000
"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,92697,"ASSISTANT SPECIALIST, STEP 1",38952
SONY PICTURES IMAGEWORKS INC.,CULVER CITY,CA,90232,SENIOR TECHNICAL ANIMATOR,128960
"RELATIONAL INVESTORS, LLC",SAN DIEGO,CA,92130,MARKETING RESEARCH ASSOCIATE,39666
SAUCE LABS INC,SAN FRANCISCO,CA,94103-,PRINCIPAL SOFTWARE DEVELOPER,102149
IKANOS COMMUNICATIONS INC.,FREMONT,CA,94538,IT SYSTEMS SUPPORT ENGINEER,50000
"NANOSOLAR, INC.",SAN JOSE,CA,95138-,CHEMIST,55000
NANOSEMANTICS INC,SANTA CLARA,CA,95050,COMPUTER SYSTEMS ANALYST,62000
"AIRCRAFTERS, LLC",WATSONVILLE,CA,95076,AERONAUTICAL ENGINEER,45.58
"DTI SERVICES, INC.",LOS ANGELES,CA,90017,COMPUTER ENGINEER,90900
"APPRIVO, INC.",SAN FRANCISCO,CA,94104-,JUNIOR DEVELOPER,65000
OVERSEE.NET,LOS ANGELES,CA,90071-,SENIOR SOFTWARE ENGINEER,68000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"SENIOR SYSTEMS ENGINEER, SOFTWARE",96033.6
QUALCOMM INNOVATION CENTER INC.,SAN DIEGO,CA,92121,"SOFTWARE ENGINEER, SENIOR",91977
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),74900
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,96034
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR STAFF HARDWARE ENGINEER,114587.2
ASICS AMERICA CORPORATION,IRVINE,CA,92618-,SAP ABAP DEVELOPER,76800
"INIRUS, LLC",SANTA CLARA,CA,95054,FUNCTIONAL ANALYST,70304
"INIRUS, LLC",SANTA CLARA,CA,95054-,PROGRAMMER ANALYST,85946
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,79539.2
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF SOFTWARE ENGINEER,96033.6
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (QA ANALYST),64900
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,PROFESSOR,112600
FORTUNE TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER PROGRAMMER,60000
NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH & EDUCA,SAN FRANCISCO,CA,94121,STAFF RESEARCH ASSOCIATE III,27.41
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF SOFTWARE ENGINEER,91940
"INPATIENT CONSULTANTS OF TENNESSEE, INC.",NORTH HOLLYWOOD,CA,91602-,HOSPITALIST PHYSICIAN,75
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,95000
"KRG TECHNOLOGIES, INC.",VALENCIA,CA,91355-,PROGRAMMER ANALYST,65000
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,94088-,SENIOR SOFTWARE DEVELOPMENT ENGINEER,94593
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065-,SOFTWARE ENGINEER (APPLICATIONS DEVELOPER 3),75000
